Number of tests,Onwards transmission,Percentage of tests that are positive
526.0,3.8329097872500006,0.007167300380228137
527.0,3.8315210214375,0.007191650853889943
528.0,3.8301485620000006,0.007215909090909091
529.0,3.828792463687501,0.00724007561436673
530.0,3.8274527812500003,0.007264150943396226
531.0,3.8261295694375006,0.0072881355932203394
532.0,3.824822883,0.00731203007518797
533.0,3.8235327766875002,0.007335834896810507
534.0,3.8222593052500002,0.007359550561797753
535.0,3.8210025234375005,0.007383177570093458
536.0,3.819762486,0.007406716417910447
537.0,3.8185392476875,0.007430167597765364
538.0,3.8173328632500008,0.007453531598513011
539.0,3.8161433874375,0.007476808905380335
540.0,3.814970875,0.0075
541.0,3.8138153806875006,0.007523105360443623
542.0,3.8126769592500005,0.0075461254612546125
543.0,3.8115556654375,0.007569060773480664
544.0,3.8104515540000006,0.007591911764705882
545.0,3.8093646796875,0.007614678899082569
546.0,3.80829509725,0.0076373626373626375
547.0,3.8072428614375,0.007659963436928701
548.0,3.806208027,0.007682481751824817
549.0,3.8051906486875,0.007704918032786886
550.0,3.8041907812499995,0.007727272727272728
551.0,3.8032084794375,0.007749546279491832
552.0,3.802243798,0.0077717391304347825
553.0,3.8012967916875,0.007793851717902351
554.0,3.80036751525,0.007815884476534297
555.0,3.7994560234375006,0.007837837837837838
556.0,3.801343335165,0.007823758992805754
557.0,3.8032428430481255,0.007809730700179532
558.0,3.8051545472237502,0.007795752688172042
559.0,3.8070784478287507,0.007781824686940966
560.0,3.8090145449999997,0.007767946428571428
561.0,3.810962838874375,0.007754117647058824
562.0,3.8129233295887506,0.007740338078291814
563.0,3.8148960172799997,0.007726607460035523
564.0,3.8168809020850003,0.007712925531914893
565.0,3.8188779841406255,0.007699292035398229
566.0,3.8208872635837503,0.0076857067137809185
567.0,3.8229087405512496,0.007672169312169312
568.0,3.8249424151799998,0.0076586795774647885
569.0,3.8269882876068753,0.0076452372583479785
570.0,3.82904635796875,0.0076318421052631565
571.0,3.8311166264025003,0.0076184938704028015
572.0,3.8331990930450006,0.007605192307692307
573.0,3.8352937580331252,0.007591937172774869
574.0,3.8374006215037504,0.007578728222996515
575.0,3.83951968359375,0.007565565217391304
576.0,3.84165094444,0.0075524479166666665
577.0,3.8437944041793743,0.007539376083188907
578.0,3.8459500629487495,0.0075263494809688575
579.0,3.848117920885,0.007513367875647667
580.0,3.850297978125,0.007500431034482759
581.0,3.852490234805625,0.007487538726333906
582.0,3.85469469106375,0.007474690721649485
583.0,3.8569113470362497,0.00746188679245283
584.0,3.85914020286,0.007449126712328766
585.0,3.8613812586718748,0.007436410256410256
586.0,3.8636345146087505,0.007423737201365186
587.0,3.8658999708075,0.007411107325383305
588.0,3.868177627405,0.007398520408163265
589.0,3.870467484538125,0.007385976230899829
590.0,3.8727695423437503,0.007373474576271186
591.0,3.87508380095875,0.007361015228426395
592.0,3.8774102605199996,0.007348597972972973
593.0,3.879748921164375,0.007336222596964586
594.0,3.8820997830287505,0.0073238888888888885
595.0,3.8844628462500004,0.007311596638655462
596.0,3.886838110965,0.0072993456375838916
597.0,3.889225577310625,0.007287135678391959
598.0,3.8916252454237497,0.007274966555183946
599.0,3.89403711544125,0.0072628380634390645
600.0,3.8964611875,0.007250749999999999
601.0,3.898495891314375,0.007238702163061564
602.0,3.90054079158375,0.007226694352159468
603.0,3.9025958884225007,0.007214726368159203
604.0,3.9046611819449994,0.0072027980132450325
605.0,3.906736672265625,0.00719090909090909
606.0,3.90882235949875,0.007179059405940593
607.0,3.91091824375875,0.0071672487644151555
608.0,3.9130243251599994,0.0071554769736842105
609.0,3.9151406038168752,0.007143743842364532
610.0,3.91726707984375,0.007132049180327868
611.0,3.919403753355,0.007120392798690671
612.0,3.921550624465,0.00710877450980392
613.0,3.923707693288125,0.007097194127243067
614.0,3.9258749599387492,0.007085651465798045
615.0,3.92805242453125,0.007074146341463415
616.0,3.9302400871800005,0.0070626785714285704
617.0,3.932437947999375,0.00705124797406807
618.0,3.9346460071037503,0.0070398543689320385
619.0,3.9368642646075,0.007028497576736671
620.0,3.939092720625,0.0070171774193548385
621.0,3.941331375270625,0.007005893719806763
622.0,3.9435802286587496,0.006994646302250804
623.0,3.9458392809037504,0.006983434991974317
624.0,3.94810853212,0.0069722596153846145
625.0,3.9503879824218746,0.0069611199999999995
626.0,3.95267763192375,0.006950015974440894
627.0,3.9549774807399998,0.006938947368421052
628.0,3.957287528985,0.006927914012738853
629.0,3.959607776773125,0.00691691573926868
630.0,3.9619382242187497,0.006905952380952381
631.0,3.9642788714362505,0.006895023771790807
632.0,3.9666297185399997,0.0068841297468354426
633.0,3.9689907656443753,0.006873270142180094
634.0,3.97136201286375,0.0068624447949526815
635.0,3.9737434603125,0.006851653543307086
636.0,3.976135108105,0.006840896226415094
637.0,3.9785369563556254,0.006830172684458399
638.0,3.9809490051787506,0.006819482758620689
639.0,3.9833712546887505,0.006808826291079812
640.0,3.9858037050000004,0.006798203124999999
641.0,3.9882463562268753,0.006787613104524181
642.0,3.9906992084837496,0.006777056074766355
643.0,3.9931622618850002,0.006766531881804044
644.0,3.9956355165450006,0.006756040372670807
645.0,3.998118972578125,0.006745581395348836
646.0,4.00061263009875,0.00673515479876161
647.0,4.0031164892212505,0.006724760432766614
648.0,4.00563055006,0.006714398148148148
649.0,4.008154812729375,0.006704067796610169
650.0,4.01068927734375,0.00669376923076923
651.0,4.0132339440175,0.006683502304147465
652.0,4.015788812865001,0.006673266871165643
653.0,4.018353884000625,0.006663062787136294
654.0,4.02092915753875,0.00665288990825688
655.0,4.02351463359375,0.006642748091603054
656.0,4.02611031228,0.006632637195121951
657.0,4.028716193711875,0.0066225570776255694
658.0,4.031332278003751,0.006612507598784194
659.0,4.03395856527,0.006602488619119878
660.0,4.036595055625,0.006592499999999999
661.0,4.039241749183125,0.006582541603630861
662.0,4.04189864605875,0.00657261329305136
663.0,4.04456574636625,0.006562714932126696
664.0,4.0472430502200005,0.006552846385542168
665.0,4.049930557734375,0.006543007518796992
666.0,4.05262826902375,0.006533198198198197
667.0,4.0553361842025,0.006523418290854573
668.0,4.058054303385,0.006513667664670658
669.0,4.060782626685626,0.006503946188340807
670.0,4.0635211542187495,0.006494253731343283
671.0,4.06626988609875,0.006484590163934425
672.0,4.06902882244,0.006474955357142857
673.0,4.071797963356875,0.006465349182763744
674.0,4.07457730896375,0.006455771513353116
675.0,4.077366859375,0.006446222222222221
676.0,4.080166614705001,0.006436701183431952
677.0,4.082976575068125,0.006427208271787296
678.0,4.0857967405787505,0.0064177433628318575
679.0,4.088627111351251,0.006408306332842415
680.0,4.0914676875,0.006398897058823528
681.0,4.094318469139376,0.006389515418502203
682.0,4.097179456383751,0.00638016129032258
683.0,4.099939206885001,0.006370834553440703
684.0,4.10211062647,0.006361535087719298
685.0,4.1042897423437505,0.006352262773722627
686.0,4.1064765545925,0.00634301749271137
687.0,4.108671063302499,0.006333799126637554
688.0,4.110873268560001,0.006324607558139535
689.0,4.113083170451251,0.00631544267053701
690.0,4.1153007690625,0.006306304347826087
691.0,4.11752606448,0.006297192474674384
692.0,4.11975905679,0.006288106936416184
693.0,4.1219997460787505,0.006279047619047619
694.0,4.1242481324325,0.006270014409221901
695.0,4.1265042159375005,0.006261007194244605
696.0,4.128767996680001,0.006252025862068965
697.0,4.131039474746251,0.006243070301291248
698.0,4.1333186502225,0.006234140401146131
699.0,4.135605523195,0.006225236051502145
700.0,4.13790009375,0.006216357142857142
701.0,4.14020236197375,0.0062075035663338085
702.0,4.1425123279525,0.006198675213675214
703.0,4.1448299917725,0.0061898719772403975
704.0,4.14715535352,0.00618109375
705.0,4.14948841328125,0.0061723404255319145
706.0,4.1518291711425,0.006163611898016996
707.0,4.15417762719,0.006154908062234794
708.0,4.15653378151,0.006146228813559322
709.0,4.158897634188751,0.006137574047954866
710.0,4.1612691853124995,0.00612894366197183
711.0,4.1636484349675005,0.006120337552742615
712.0,4.1660353832400006,0.006111755617977528
713.0,4.16843003021625,0.006103197755960728
714.0,4.1708323759825,0.006094663865546218
715.0,4.173242420625001,0.006086153846153845
716.0,4.17566016423,0.006077667597765363
717.0,4.17808560688375,0.006069205020920502
718.0,4.180518748672501,0.0060607660167130905
719.0,4.1829595896825005,0.006052350486787204
720.0,4.18540813,0.006043958333333333
721.0,4.187864369711249,0.006035589459084605
722.0,4.1903283089025,0.0060272437673130185
723.0,4.19279994766,0.006018921161825726
724.0,4.195279286070001,0.006010621546961325
725.0,4.197766324218749,0.006002344827586206
726.0,4.2002610621925,0.005994090909090909
727.0,4.2027635000775,0.005985859697386519
728.0,4.2052736379599995,0.005977651098901099
729.0,4.20779147592625,0.005969465020576131
730.0,4.2103170140625,0.005961301369863014
731.0,4.212850252455,0.005953160054719562
732.0,4.21539119119,0.005945040983606556
733.0,4.2179398303537505,0.005936944065484311
734.0,4.220496170032501,0.0059288692098092635
735.0,4.2230602103125,0.005920816326530612
736.0,4.2256319512800005,0.0059127853260869554
737.0,4.22821139302125,0.005904776119402985
738.0,4.2307985356225,0.005896788617886178
739.0,4.23339337917,0.005888822733423544
740.0,4.23599592375,0.005880878378378378
741.0,4.23860616944875,0.005872955465587044
742.0,4.2412241163525,0.005865053908355795
743.0,4.2438497645475,0.005857173620457604
744.0,4.24648311412,0.005849314516129032
745.0,4.249124165156251,0.0058414765100671135
746.0,4.2517729177425005,0.0058336595174262726
747.0,4.2539171148025,0.005825863453815261
748.0,4.255710804135,0.0058180882352941166
749.0,4.257509683816875,0.005810333778371162
750.0,4.25931375390625,0.0058026
751.0,4.2611230144612495,0.005794886817576565
752.0,4.26293746554,0.00578719414893617
753.0,4.264757107200625,0.005779521912350596
754.0,4.2665819395012505,0.005771870026525199
755.0,4.2684119625,0.005764238410596026
756.0,4.270247176254999,0.005756626984126984
757.0,4.272087580824374,0.005749035667107001
758.0,4.27393317626625,0.00574146437994723
759.0,4.27578396263875,0.00573391304347826
760.0,4.27763994,0.0057263815789473675
761.0,4.279501108408125,0.005718869908015768
762.0,4.28136746792125,0.005711377952755905
763.0,4.2832390185975004,0.0057039056356487546
764.0,4.285115760495,0.005696452879581151
765.0,4.286997693671875,0.005689019607843137
766.0,4.28888481818625,0.005681605744125326
767.0,4.290777134096251,0.005674211212516296
768.0,4.29267464146,0.0056668359375
769.0,4.294577340335625,0.005659479843953185
770.0,4.296485230781251,0.005652142857142857
771.0,4.298398312855,0.005644824902723735
